NU_MATRICULA,DT_NASCIMENTO,PERIODO_INGRESSO,TIPO_INGRESSO,PERIODO_LETIVO,CAMPUS,CD_INEP,CURSO,CARGA_HORARIA_CURSO,TURNO,MODALIDADE,COTAS,ESCOLA_PUBLICA,BLS_ASSIST,DS_TP_SIT_ACAD,MONIT_PROACAD,SEXO,COR,NACIONALIDADE,CIDADE_NAT,UF_NAT,DEFIC,SURDEZ,AUDITIVA,FISICA,SURDOCEGUEIRA,MULTIPLA,INTELECTUAL,AUTISMO,SINDR_ASPERGER,SINDR_RETT,TRANST_DESINT,ALT_HAB_SUPERD,MOB_ACAD,TIPO_MOB_ACAD,IES_DEST,TIPO_MOB_ACAD_INTERNAC,PAIS_DEST
200647207,24/10/1989,2008.1,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13616,ENGENHARIA ELÉTRICA,3660,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200647459,17/09/1967,2008.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13610,ARQUITETURA E URBANISMO,3915,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,BRANCA,BRA,CARUARU,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200682298,04/06/1992,2009.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,F,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200682298,04/06/1992,2009.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13586,ENGENHARIA MECÂNICA,3690,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200683235,13/11/1988,2009.1,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13610,ARQUITETURA E URBANISMO,3915,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,TRANCAMENTO,NÃO,F,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200683444,05/05/1985,2009.1,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13593,QUÍMICA INDUSTRIAL,2925,NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200683615,30/03/1991,2009.2,VESTIBULAR,2019.1,REITOR JOAQUIM AMAZONAS,13584,ENGENHARIA CIVIL,3900,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,BRANCA,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200685306,16/03/1991,2009.1,VESTIBULAR,2019.2,AGRESTE,101129,ENGENHARIA CIVIL - CAA,4100,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,BRANCA,BRA,CARUARU,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200685979,24/01/1990,2009.2,VESTIBULAR,2019.2,AGRESTE,118092,ENGENHARIA DE PRODUÇÃO - CAA,3765,INTEGRAL,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,F,NÃO DECLARADO,BRA,CARUARU,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
200686294,07/11/1990,2009.2,VESTIBULAR,2019.2,REITOR JOAQUIM AMAZONAS,13573,CIÊNCIAS CONTABEIS,3000,NOITE,PRESENCIAL,AC,NÃO INFORMADO,NÃO,DESVINCULADO,NÃO,M,NÃO DECLARADO,BRA,RECIFE,PE,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,NÃO,,,,
